,2022-03-31,2023-03-31,2024-03-31,2025-03-31,2026-03-31
Revenue,,41737851000.0,44794837000.0,52862745000.0,60090613000.0
EBIT,,23929357000.0,26758457000.0,32025863000.0,35097265000.0
Net Income,,19045471000.0,19266037000.0,22255137000.0,25074273000.0
Gross Profit,,23069173000.0,26858485000.0,34412947000.0,37440810000.0
Operating Expense,,2349914000.0,3034534000.0,4266992000.0,5152658000.0
Total Assets,,186257475000.0,196334113000.0,227420630000.0,253284797000.0
Total Liabilities,,64156277000.0,57889993000.0,70371968000.0,74068566000.0
Equity,,122101198000.0,138444120000.0,157048662000.0,179216231000.0
Cash,,7204318000.0,12720298000.0,30921265000.0,27271537000.0
Total Debt,,39440859000.0,24952193000.0,33003879000.0,28253942000.0
Current Assets,,124563678000.0,127459231000.0,152169061000.0,172496998000.0
Current Liabilities,,32878340000.0,32733078000.0,35073409000.0,43226193000.0
Working Capital,,91685338000.0,94726153000.0,117095652000.0,129270805000.0
Depreciation,,389290000.0,467170000.0,877499000.0,1300389000.0
CapEx,,-6018172000.0,-6770157000.0,-6923082000.0,-6366117000.0
Operating Cash Flow,,-23830421000.0,28164081000.0,21625756000.0,13798602000.0
Free Cash Flow,,-29848593000.0,21393924000.0,14702674000.0,7432485000.0
