,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Ordinary Shares Number,363602237.0,363602237.0,363602237.0,363602237.0,
Share Issued,363602237.0,363602237.0,363602237.0,363602237.0,
Net Debt,26405468000.0,30327177000.0,21982613000.0,37559393000.0,
Total Debt,28253942000.0,33003879000.0,24952193000.0,39440859000.0,
Tangible Book Value,179016831000.0,157037973000.0,138428210000.0,122080084000.0,
Invested Capital,207378481000.0,190052541000.0,163396313000.0,161542057000.0,
Working Capital,129270805000.0,117095652000.0,94726153000.0,91685338000.0,
Net Tangible Assets,179016831000.0,157037973000.0,138428210000.0,122080084000.0,
Capital Lease Obligations,91692000.0,,,,
Common Stock Equity,179216231000.0,157048662000.0,138444120000.0,122101198000.0,
Total Capitalization,202858206000.0,185997190000.0,160364500000.0,150907578000.0,
Total Equity Gross Minority Interest,179216231000.0,157048662000.0,138444120000.0,122101198000.0,
Stockholders Equity,179216231000.0,157048662000.0,138444120000.0,122101198000.0,
Other Equity Interest,-212000000.0,153412700000.0,134808100000.0,118465200000.0,
Retained Earnings,143240467000.0,121072898000.0,102468356000.0,86125434000.0,
Additional Paid In Capital,28894640000.0,28894640000.0,28894640000.0,28894640000.0,
Capital Stock,3636023000.0,3636023000.0,3636023000.0,3636023000.0,
Common Stock,3636023000.0,3636023000.0,3636023000.0,3636023000.0,
Total Liabilities Net Minority Interest,74068566000.0,70371968000.0,57889993000.0,64156277000.0,
Total Non Current Liabilities Net Minority Interest,30842373000.0,35298559000.0,25156915000.0,31277937000.0,
Other Non Current Liabilities,1339000000.0,1503000000.0,533200000.0,1337300000.0,
Non Current Pension And Other Postretirement Benefit Plans,45475000.0,24954000.0,20510000.0,16518000.0,
Tradeand Other Payables Non Current,1246923000.0,1078616000.0,1092388000.0,946703000.0,
Non Current Deferred Revenue,5678418000.0,4978746000.0,2119263000.0,1506094000.0,
Non Current Deferred Taxes Liabilities,13389000.0,267715000.0,4374000.0,2242000.0,
Long Term Debt And Capital Lease Obligation,23712484000.0,28948528000.0,21920380000.0,28806380000.0,
Long Term Capital Lease Obligation,70509000.0,,,,
Long Term Debt,23641975000.0,28948528000.0,21920380000.0,28806380000.0,
Long Term Provisions,45500000.0,25000000.0,20500000.0,16500000.0,
