,31-03-2026,31-03-2025,31-03-2024,31-03-2023,31-03-2022
Free Cash Flow,7432485000,14702674000,21393924000,-29848593000,
Repayment Of Debt,-9631328000,-14217395000,-24833101000,-12170368000,
Issuance Of Debt,4828485000,22175954000,10436805000,22986916000,
Capital Expenditure,-6366117000,-6923082000,-6770157000,-6018172000,
End Cash Position,1756782000,2676702000,2969580000,1881466000,
Beginning Cash Position,2676702000,2969580000,1593165000,1238258000,
Changes In Cash,-919920000,-292878000,1376415000,643208000,
Financing Cash Flow,-10087641000,2004042000,-20344677000,7088354000,
Interest Paid Cff,-2376039000,-2318523000,-3039563000,-2637387000,
Cash Dividends Paid,-2908759000,-3635994000,-2908818000,-1090807000,
Common Stock Dividend Paid,-2908759000,-3635994000,-2908818000,-1090807000,
Net Issuance Payments Of Debt,-4802843000,7958559000,-14396296000,10816548000,
Net Short Term Debt Issuance,908133000,20957000,-5155316000,-1607657000,
Short Term Debt Payments,-3520352000,-4326055000,-12012121000,-11485173000,
Short Term Debt Issuance,4428485000,4347012000,6856805000,9877516000,
Net Long Term Debt Issuance,-5710976000,7937602000,-9240980000,12424205000,
Long Term Debt Payments,-6110976000,-9891340000,-12820980000,-685195000,
Long Term Debt Issuance,400000000,17828942000,3580000000,13109400000,
Investing Cash Flow,-4630881000,-23922676000,-6442989000,17385275000,
Net Other Investing Changes,,,,-1799800000,-1002300000
Interest Received Cfi,940947000,2564459000,269777000,137746000,
Net Investment Purchase And Sale,949527000,-19057687000,-2675559000,4571105000,
Sale Of Investment,50271457000,42701698000,0,342400000,
Purchase Of Investment,-49321930000,-61759385000,-2675559000,,
Net Business Purchase And Sale,-1500000,601578000,2457956000,15942928000,
Sale Of Business,,601578000,2457956000,15942928000,
Net PPE Purchase And Sale,-6335038000,-6904979000,-6769009000,-6016125000,
Sale Of PPE,31079000,18103000,1148000,2047000,
Purchase Of PPE,-6366117000,-6923082000,-6770157000,-6018172000,
Operating Cash Flow,13798602000,21625756000,28164081000,-23830421000,
Taxes Refund Paid,-7924711000,-6502918000,-4735506000,-4779373000,
Change In Working Capital,-11880081000,-2922095000,8594796000,-40224817000,
Change In Other Current Liabilities,10005655000,3588089000,-714118000,256227000,
Change In Other Current Assets,-11462973000,-6121011000,-872606000,-27551000,
Change In Payable,-1535396000,1538329000,3362228000,67610000,
Change In Inventory,-6993507000,-2334647000,-2126240000,-35069052000,
Change In Receivables,-2113798000,846022000,8941081000,-5312920000,
Other Non Cash Items,723697000,1558153000,1331936000,1077759000,
Provisionand Write Offof Assets,,,-93900000,-22998000,-25923000
Depreciation And Amortization,1308315000,884568000,475187000,397512000,
Amortization Cash Flow,7926000,7069000,8017000,8222000,
Depreciation,1300389000,877499000,467170000,389290000,
Gain Loss On Investment Securities,-1040636000,-765131000,-330614000,-342282000,
Net Foreign Currency Exchange Gain Loss,8748000,545000,4400000,5956000,
Gain Loss On Sale Of PPE,5501000,0,127000,73000,
Net Income From Continuing Operations,32756082000,29448968000,24757353000,22238808000,
