,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,188413506.216769,188948623.005329,482555294.661913,49153748.190146
Tax Rate For Calcs,0.234516,0.244281,0.221805,0.143593
Normalized EBITDA,35602164000.0,32136943000.0,25058065000.0,23984556000.0
Total Unusual Items,803416000.0,773488000.0,2175579000.0,342313000.0
Total Unusual Items Excluding Goodwill,803416000.0,773488000.0,2175579000.0,342313000.0
Net Income From Continuing Operation Net Minority Interest,25074273000.0,22255137000.0,19266037000.0,19045471000.0
Reconciled Depreciation,1308315000.0,884568000.0,475187000.0,397512000.0
Reconciled Cost Of Revenue,22649803000.0,18449798000.0,17936352000.0,18668678000.0
EBITDA,36405580000.0,32910431000.0,27233644000.0,24326869000.0
EBIT,35097265000.0,32025863000.0,26758457000.0,23929357000.0
Net Interest Income,-725703000.0,-1558153000.0,-1425838000.0,-1100757000.0
Interest Expense,2341183000.0,2576895000.0,2001104000.0,1690549000.0
Interest Income,1680629000.0,1094192000.0,758603000.0,589792000.0
Normalized Income,24459270506.21677,21670597623.00533,17573013294.661915,18752311748.190147
Net Income From Continuing And Discontinued Operation,25074273000.0,22255137000.0,19266037000.0,19045471000.0
Total Expenses,27802461000.0,22716790000.0,20970886000.0,21018592000.0
Rent Expense Supplemental,44224000.0,45238000.0,39390000.0,19644000.0
Diluted Average Shares,363602237.0,363602237.0,363602237.0,363602237.0
Basic Average Shares,363602237.0,363602237.0,363602237.0,363602237.0
Diluted EPS,68.96,61.21,52.99,52.38
Basic EPS,68.96,61.21,52.99,52.38
Diluted NI Availto Com Stockholders,25074273000.0,22255137000.0,19266037000.0,19045471000.0
Net Income Common Stockholders,25074273000.0,22255137000.0,19266037000.0,19045471000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,25074273000.0,22255137000.0,19266037000.0,19045471000.0
Net Income Including Noncontrolling Interests,25074273000.0,22255137000.0,19266037000.0,19045471000.0
Net Income Continuous Operations,25074273000.0,22255137000.0,19266037000.0,19045471000.0
Tax Provision,7681809000.0,7193831000.0,5491316000.0,3193337000.0
Pretax Income,32756082000.0,29448968000.0,24757353000.0,22238808000.0
Other Non Operating Income Expenses,222494000.0,11344000.0,95155000.0,74040000.0
Special Income Charges,-237220000.0,8357000.0,1844965000.0,-73000.0
Other Special Charges,237220000.0,-8357000.0,-1844965000.0,73000.0
Net Non Operating Interest Income Expense,-725703000.0,-1558153000.0,-1425838000.0,-1100757000.0
Total Other Finance Cost,65149000.0,75450000.0,183337000.0,
Interest Expense Non Operating,2341183000.0,2576895000.0,2001104000.0,1690549000.0
Interest Income Non Operating,1680629000.0,1094192000.0,758603000.0,589792000.0
Operating Income,32288152000.0,30145955000.0,23823951000.0,20719259000.0
Operating Expense,5152658000.0,4266992000.0,3034534000.0,2349914000.0
Other Operating Expenses,1699168000.0,1783322000.0,1153183000.0,945188000.0
Depreciation And Amortization In Income Statement,1308315000.0,884568000.0,475187000.0,397512000.0
Amortization,7926000.0,7069000.0,8017000.0,8222000.0
Depreciation Income Statement,1300389000.0,877499000.0,467170000.0,389290000.0
Selling General And Administration,735235000.0,730630000.0,494711000.0,387022000.0
Selling And Marketing Expense,495708000.0,486749000.0,296928000.0,168393000.0
General And Administrative Expense,239527000.0,243881000.0,197783000.0,218629000.0
Rent And Landing Fees,44224000.0,45238000.0,39390000.0,19644000.0
Gross Profit,37440810000.0,34412947000.0,26858485000.0,23069173000.0
Cost Of Revenue,22649803000.0,18449798000.0,17936352000.0,18668678000.0
Total Revenue,60090613000.0,52862745000.0,44794837000.0,41737851000.0
Operating Revenue,60090613000.0,52862745000.0,44794837000.0,41737851000.0
