,Metric,Value
0,Company,Oberoi Realty Limited
1,Ticker,OBEROIRLTY.NS
2,Current Price,1851.5
3,Previous Close,1884.8
4,Open,1878.2
5,52 Week High,1986.1
6,52 Week Low,1391.2
7,Market Cap,673209516032
8,Enterprise Value,680683372544
9,Shares Outstanding,363602237
10,Trailing EPS,72.38
11,Forward EPS,106.64664
12,Trailing PE,25.580273
13,Forward PE,17.361073
14,Book Value,492.891
15,Price to Book,3.7564087
16,Dividend Rate,8.0
17,Dividend Yield,0.42
18,Payout Ratio,0.1106
19,Beta,0.3
20,Currency,INR
21,Sector,Real Estate
22,Industry,Real Estate - Development
