Date,Dividend
2011-06-16 09:15:00+05:30,1
2012-06-21 09:15:00+05:30,2
2013-07-11 09:15:00+05:30,2
2014-08-21 09:15:00+05:30,2
2015-06-25 09:15:00+05:30,2
2016-03-17 09:15:00+05:30,2
2017-09-13 09:15:00+05:30,2
2018-05-31 09:15:00+05:30,2
2019-08-14 09:15:00+05:30,2
2022-07-07 09:15:00+05:30,3
2023-06-21 09:15:00+05:30,4
2023-11-08 09:15:00+05:30,2
2024-02-02 09:15:00+05:30,2
2024-05-22 09:15:00+05:30,2
2024-06-24 09:15:00+05:30,2
2024-08-01 09:15:00+05:30,2
2024-11-04 09:15:00+05:30,2
2025-01-24 09:15:00+05:30,2
2025-05-05 09:15:00+05:30,2
2025-07-25 09:15:00+05:30,2
2025-10-20 09:15:00+05:30,2
2026-01-23 09:15:00+05:30,2
2026-05-14 09:15:00+05:30,2
