,31-03-2026,31-03-2025
Ordinary Shares Number,363602237,363602237
Share Issued,363602237,363602237
Net Debt,26405468000,30327177000
Total Debt,28253942000,33003879000
Tangible Book Value,1.79017E+11,1.57038E+11
Invested Capital,2.07378E+11,1.90053E+11
Working Capital,1.29271E+11,1.17096E+11
Net Tangible Assets,1.79017E+11,1.57038E+11
Capital Lease Obligations,91692000,
Common Stock Equity,1.79216E+11,1.57049E+11
Total Capitalization,2.02858E+11,1.85997E+11
Total Equity Gross Minority Interest,1.79216E+11,1.57049E+11
Stockholders Equity,1.79216E+11,1.57049E+11
Other Equity Interest,-212000000,1.53413E+11
Retained Earnings,1.4324E+11,1.21073E+11
Additional Paid In Capital,28894640000,28894640000
Capital Stock,3636023000,3636023000
Common Stock,3636023000,3636023000
Total Liabilities Net Minority Interest,74068566000,70371968000
Total Non Current Liabilities Net Minority Interest,30842373000,35298559000
Other Non Current Liabilities,1339000000,1503000000
Non Current Pension And Other Postretirement Benefit Plans,45475000,24954000
Tradeand Other Payables Non Current,1246923000,1078616000
Non Current Deferred Revenue,5678418000,4978746000
Non Current Deferred Taxes Liabilities,13389000,267715000
Long Term Debt And Capital Lease Obligation,23712484000,28948528000
Long Term Capital Lease Obligation,70509000,
Long Term Debt,23641975000,28948528000
Long Term Provisions,45500000,25000000
Current Liabilities,43226193000,35073409000
Other Current Liabilities,28519100000,100000
Current Debt And Capital Lease Obligation,4541458000,4055351000
Current Capital Lease Obligation,21183000,
Current Debt,4520275000,4055351000
Current Provisions,3550166000,3691955000
Payables,14339553000,13553998000
Other Payable,9021178000,6642330000
Dividends Payable,323000,395000
Total Tax Payable,397819000,352351000
Accounts Payable,4920233000,6558922000
Total Assets,2.53285E+11,2.27421E+11
Total Non Current Assets,80787799000,75251569000
Other Non Current Assets,4775124000,4034025000
Non Current Prepaid Assets,981182000,1333324000
Non Current Deferred Taxes Assets,1452614000,1358820000
Other Investments,,845200000
Investmentin Financial Assets,1332523000,1013095000
Held To Maturity Securities,,277000
Available For Sale Securities,1332523000,1013095000
Long Term Equity Investment,3752907000,3739209000
Investmentsin Joint Venturesat Cost,3752907000,3739209000
Investment Properties,44325767000,44401434000
Goodwill And Other Intangible Assets,199400000,10689000
Other Intangible Assets,199400000,10689000
Net PPE,23445684000,18857001000
Accumulated Depreciation,-1748148000,-1538863000
Gross PPE,25193832000,20395864000
Construction In Progress,20967526000,16421016000
Other Properties,200256000,191367000
Machinery Furniture Equipment,1715307000,1564358000
Buildings And Improvements,2310743000,2219123000
Properties,0,0
Current Assets,1.72497E+11,1.52169E+11
Other Current Assets,175461000,76047000
Restricted Cash,2443014000,315357000
Prepaid Assets,8899582000,8346454000
Inventory,1.01832E+11,94464977000
Other Inventories,19423000,15551000
Finished Goods,29767240000,30946278000
Work In Process,72045563000,63503148000
Other Receivables,28503043000,16726153000
Taxes Receivable,131728000,192198000
Accounts Receivable,3240407000,1126610000
Allowance For Doubtful Accounts Receivable,-28585000,-69378000
Gross Accounts Receivable,3268992000,1195988000
Cash Cash Equivalents And Short Term Investments,27271537000,30921265000
Other Short Term Investments,25514755000,28244563000
Cash And Cash Equivalents,1756782000,2676702000
Cash Equivalents,0,862480000
Cash Financial,1756782000,1814222000
