,2026-06-30,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,-53900412.272173,0.0,0.0
Tax Rate For Calcs,0.236257,0.269653,0.23374,0.169067,0.249402
Normalized EBITDA,7990600000.0,10231300000.0,9357300000.0,6135300000.0,6814200000.0
Total Unusual Items,0.0,0.0,-230600000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-230600000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,5435100000.0,7032800000.0,6226400000.0,4212500000.0,4325000000.0
Reconciled Depreciation,349900000.0,330900000.0,326900000.0,316200000.0,242000000.0
Reconciled Cost Of Revenue,4693500000.0,6521200000.0,5502900000.0,3896100000.0,4173700000.0
EBITDA,7990600000.0,10231300000.0,9126700000.0,6135300000.0,6814200000.0
EBIT,7640700000.0,9900400000.0,8799800000.0,5819100000.0,6572200000.0
Net Interest Income,-524300000.0,-271000000.0,-674100000.0,-749500000.0,-801200000.0
Interest Expense,524300000.0,271000000.0,674100000.0,749500000.0,801200000.0
Normalized Income,5435100000.0,7032800000.0,6403099587.727827,4212500000.0,4325000000.0
Net Income From Continuing And Discontinued Operation,5435100000.0,7032800000.0,6226400000.0,4212500000.0,4325000000.0
Total Expenses,6017400000.0,8226600000.0,6680700000.0,4988300000.0,5562700000.0
Diluted Average Shares,363795181.0,363640124.0,363691589.0,363459879.0,363140218.0
Basic Average Shares,363551839.0,363640124.0,363691589.0,363459879.0,363140218.0
Diluted EPS,14.94,19.34,17.12,11.59,11.91
Basic EPS,14.95,19.34,17.12,11.59,11.91
Diluted NI Availto Com Stockholders,5435100000.0,7032800000.0,6226400000.0,4212500000.0,4325000000.0
Net Income Common Stockholders,5435100000.0,7032800000.0,6226400000.0,4212500000.0,4325000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,5435100000.0,7032800000.0,6226400000.0,4212500000.0,4325000000.0
Net Income Including Noncontrolling Interests,5435100000.0,7032800000.0,6226400000.0,4212500000.0,4331700000.0
Net Income Continuous Operations,5435100000.0,7032800000.0,6226400000.0,4212500000.0,4331700000.0
Tax Provision,1681300000.0,2596600000.0,1899300000.0,857100000.0,1439300000.0
Pretax Income,7116400000.0,9629400000.0,8125700000.0,5069600000.0,5771000000.0
Other Non Operating Income Expenses,608000000.0,738800000.0,691000000.0,864300000.0,631900000.0
Special Income Charges,0.0,0.0,-230600000.0,0.0,0.0
Net Non Operating Interest Income Expense,-524300000.0,-271000000.0,-674100000.0,-749500000.0,-801200000.0
Interest Expense Non Operating,524300000.0,271000000.0,674100000.0,749500000.0,801200000.0
Operating Income,6991500000.0,9271700000.0,8245700000.0,4887200000.0,5938700000.0
Operating Expense,1323900000.0,1705400000.0,1177800000.0,1092200000.0,1389000000.0
Other Operating Expenses,561500000.0,1020000000.0,524800000.0,454600000.0,904200000.0
Depreciation And Amortization In Income Statement,349900000.0,330900000.0,326900000.0,316200000.0,242000000.0
Depreciation Income Statement,349900000.0,330900000.0,326900000.0,316200000.0,242000000.0
Gross Profit,8315400000.0,10977100000.0,9423500000.0,5979400000.0,7327700000.0
Cost Of Revenue,4693500000.0,6521200000.0,5502900000.0,3896100000.0,4173700000.0
Total Revenue,13008900000.0,17498300000.0,14926400000.0,9875500000.0,11501400000.0
Operating Revenue,13008900000.0,17498300000.0,14926400000.0,9875500000.0,11501400000.0
